dlnr;artikelnr;artikelid;preis;pfandwert;menge
406;BM80005H;BM80005H;131,43;0;3.0
406;BM90384H;BM90384H;132,21;0;3.0
406;BM11007;BM11007;132,4;0;3.0
274;33727;33727;132,4;0;3.0
274;37892;37892;134,16;0;3.0
274;28543D;28543D;134,94;0;3.0
274;42184;42184;134,94;0;3.0
406;BM90012H;BM90012H;135,73;0;3.0
406;BM80025H;BM80025H;135,91;0;3.0
406;BM90500H;BM90500H;136,5;0;3.0
406;BM11037;BM11037;136,7;0;3.0
274;37835;37835;137,28;0;3.0
406;BM90043H;BM90043H;138,06;0;3.0
406;BM11082;BM11082;138,65;0;3.0
406;BM91029H;BM91029H;138,84;0;3.0
406;BM90113H;BM90113H;139,63;0;3.0
406;BM90345H;BM90345H;139,63;0;3.0
488;ST8008T;ST8008T;139,63;0;3.0
406;BM80105H;BM80105H;139,63;0;3.0
406;BM90261H;BM90261H;139,63;0;3.0
406;BM91444H;BM91444H;139,63;0;3.0
274;42121;42121;140,01;0;3.0
406;BM80207H;BM80207H;140,4;0;3.0
406;BM90163H;BM90163H;140,6;0;3.0
406;BM80130H;BM80130H;140,99;0;3.0
4843;S3077;S3077;141,45;0;3.0
4843;S6098;S6098;141,45;0;3.0
4843;A3100;A3100;141,45;0;3.0
4843;A0491;A0491;141,45;0;3.0
4843;A2025;A2025;141,45;0;3.0
406;BM90028H;BM90028H;141,58;0;3.0
4843;A3037;A3037;141,6;0;3.0
488;AU8005T;AU8005T;141,6;0;3.0
4843;A3020;A3020;141,6;0;3.0
4843;S6304S;S6304S;141,6;0;3.0
4843;A3686S;A3686S;141,6;0;3.0
4843;S5493(MITSUBISHI);S5493(MITSUBISHI);141,6;0;3.0
4843;A0346;A0346;141,75;0;3.0
4843;A3053;A3053;141,75;0;3.0
488;DE8001T;DE8001T;141,75;0;3.0
4843;A2008;A2008;141,75;0;3.0
4843;A0128;A0128;141,75;0;3.0
4843;A5362;A5362;141,75;0;3.0
488;FI8016T;FI8016T;141,75;0;3.0
4843;A4060;A4060;141,75;0;3.0
4843;A5040;A5040;141,75;0;3.0
4843;A0731S;A0731S;141,75;0;3.0
4843;A9034;A9034;141,75;0;3.0
488;VX8036T;VX8036T;141,75;0;3.0
406;BM80193H;BM80193H;141,76;0;3.0
4843;A6035;A6035;141,9;0;3.0
488;PT8010T;PT8010T;141,9;0;3.0
4843;S5401(MITSUBISHI);S5401(MITSUBISHI);141,9;0;3.0
4843;A0428;A0428;141,9;0;3.0
4843;S1156S;S1156S;141,9;0;3.0
4843;S9371S;S9371S;141,9;0;3.0
4843;A0019;A0019;141,9;0;3.0
4843;A5029;A5029;141,9;0;3.0
4843;A6002;A6002;141,9;0;3.0
4843;S9401P;S9401P;141,9;0;3.0
4843;S9445P;S9445P;141,9;0;3.0
4843;S9519P;S9519P;141,9;0;3.0
4843;SA1004;SA1004;141,9;0;3.0
488;RV8002T;RV8002T;141,9;0;3.0
4843;A0190;A0190;142,05;0;3.0
4843;A0856S;A0856S;142,05;0;3.0
4843;A5024;A5024;142,05;0;3.0
4843;S1085(DELCO);S1085(DELCO);142,05;0;3.0
4843;S6315S;S6315S;142,05;0;3.0
4843;A0538S;A0538S;142,05;0;3.0
4843;SS9297(LETRIKA);SS9297(LETRIKA);142,05;0;3.0
406;BM90649H;BM90649H;142,05;0;3.0
4843;A5080;A5080;142,05;0;3.0
488;RV8008T;RV8008T;142,05;0;3.0
4843;A6074;A6074;142,05;0;3.0
4843;A9457S;A9457S;142,05;0;3.0
274;15729D;15729D;142,15;0;3.0
4843;A5325;A5325;142,2;0;3.0
406;BM80509H;BM80509H;142,2;0;3.0
4843;S0905S;S0905S;142,2;0;3.0
4843;A0025;A0025;142,2;0;3.0
4843;S1242S;S1242S;142,2;0;3.0
406;BM80067H;BM80067H;142,2;0;3.0
406;BM80089H;BM80089H;142,35;0;3.0
4843;A4077;A4077;142,35;0;3.0
4843;A6697S;A6697S;142,35;0;3.0
4843;A6016;A6016;142,35;0;3.0
4843;A6028;A6028;142,35;0;3.0
4843;A9188;A9188;142,35;0;3.0
4843;S2056;S2056;142,35;0;3.0
488;PT8037T;PT8037T;142,35;0;3.0
488;BM6010T;BM6010T;142,5;0;3.0
4843;S9500S;S9500S;142,5;0;3.0
4843;A5261;A5261;142,5;0;3.0
406;BM80234H;BM80234H;142,5;0;3.0
4843;S5178;S5178;142,5;0;3.0
488;DPF093;DPF093;142,5;0;3.0
406;BM11001;BM11001;142,5;0;3.0
406;BM11004;BM11004;142,5;0;3.0
406;BM11084;BM11084;142,5;0;3.0
406;BM50163;BM50163;142,5;0;3.0
406;BM50184;BM50184;142,5;0;3.0
406;BM50295;BM50295;142,5;0;3.0
