ID_Product,Quantity,Quantity_Fourniss_After_Cumule,on_depot
A0194,10,10,10
A0194SEG,10,10,10
A0194S,10,10,10
A0195,10,10,10
A0196,10,10,10
A0197,10,10,10
A0198,1,1,1
A0199,10,10,10
A0199P,7,7,7
A0199SEG,10,10,10
A0199PR,0,0,0
A0200,10,10,10
A0200PR,10,10,10
A0200SR,0,0,0
A0201,10,10,10
A0202,10,10,10
A0202PR,10,10,10
A0203,10,10,10
A0204,10,10,10
A0205,10,10,10
A0205PR,10,10,10
A0205SR,3,3,3
A0206,10,10,10
A0206SEG,10,10,10
A0207,10,10,10
A0208,8,8,8
A0208SEG,10,10,10
A0208S,10,10,10
A0209,10,10,10
A0209SEG,5,5,5
A0209PR,10,10,10
A0210,0,0,0
A0210SEG,10,10,10
A0211,10,10,10
A0211SEG,5,5,5
A0211PR,8,8,8
A0212,4,4,4
A0213,10,10,10
A0213PR,10,10,10
A0214,10,10,10
A0215,10,10,10
A0215PR,7,7,7
A0215SR,0,0,0
A0216,2,2,2
A0216P,3,3,3
A0216PR,10,10,10
A0217,4,4,4
A0218,10,10,10
A0219,6,6,6
A0220,10,10,10
A01164SEG,3,3,3
A01165SEG,5,5,5
A01166SEG,4,4,4
A01167SEG,4,4,4
A01168SEG,4,4,4
A01169SEG,4,4,4
A0117,0,0,0
A01170SEG,5,5,5
A01171SEG,3,3,3
A01172SEG,5,5,5
A01173SEG,4,4,4
A01174SEG,0,0,0
A01175SEG,0,0,0
A01176SEG,0,0,0
A01177SEG,0,0,0
A01178SEG,0,0,0
A01179S,0,0,0
A0118,10,10,10
A01180SEG,0,0,0
A01181SEG,0,0,0
A01182S,0,0,0
A01183SEG,0,0,0
A01184SEG,0,0,0
A01185SEG,0,0,0
A01186S,0,0,0
A01187SEG,0,0,0
A01188S,0,0,0
A01189S,0,0,0
A0119,6,6,6
A01190S,0,0,0
A01191S,0,0,0
A01192S,0,0,0
A0120,10,10,10
A0120SEG,10,10,10
A0120S,10,10,10
A0121,4,4,4
A0121PR,10,10,10
A0122,10,10,10
A0122PR,0,0,0
A0122SR,0,0,0
A0124,0,0,0
A0125,10,10,10
A0127,10,10,10
A0127P,10,10,10
A0127PR,10,10,10
A0127SR,0,0,0
A0128,6,6,6
A0129,1,1,1
A0130,0,0,0
A0131,10,10,10
A0093,0,0,0
A0094,10,10,10
A0095,10,10,10
A0096,8,8,8
A0097,0,0,0
A0097PR,0,0,0
A0098,2,2,2
A0099,10,10,10
A0100,2,2,2
A01000SEG,10,10,10
A01000S,0,0,0
A01001S,5,5,5
A01002S,0,0,0
A01003SEG,10,10,10
A01004SEG,9,9,9
A01004S,0,0,0
A01005SEG,9,9,9
A01006S,10,10,10
A01007SEG,8,8,8
A01008SEG,10,10,10
A01009S,1,1,1
A0101,10,10,10
A01010SEG,7,7,7
A01011S,9,9,9
A01012SEG,0,0,0
A01013SEG,5,5,5
A01014S,7,7,7
A01015SEG,5,5,5
A01015S,3,3,3
A01016S,2,2,2
A01017SEG,10,10,10
A01018SEG,0,0,0
A01019SEG,5,5,5
A01019S,7,7,7
A0102,0,0,0
A01020S,9,9,9
A01021S,0,0,0
A01022SEG,10,10,10
A01023S,0,0,0
A01024SEG,10,10,10
A01025SEG,10,10,10
A01026SEG,10,10,10
A01027SEG,2,2,2
A01028SEG,9,9,9
A01029SEG,10,10,10
A0103,0,0,0
A01030SEG,10,10,10
A01031SEG,7,7,7
A01031S,10,10,10
A01032SEG,9,9,9
A0001,10,10,10
A0002,10,10,10
A0003,10,10,10
A0004,10,10,10
A0005,10,10,10
A0006,10,10,10
A0006SR,0,0,0
A0007,10,10,10
A0008,10,10,10
A0008SR,0,0,0
A0009,10,10,10
A0010,10,10,10
A0011,10,10,10
A0012,10,10,10
A0013,10,10,10
A0014,10,10,10
A0015,10,10,10
A0016,10,10,10
A0017,0,0,0
A0018,0,0,0
A0019,10,10,10
A0019PR,7,7,7
A0020,10,10,10
A0021,10,10,10
A0022,10,10,10
A0022BOSCH,0,0,0
A0022P,1,1,1
A0022SR,0,0,0
A0023,10,10,10
A0023PR,0,0,0
A0024,0,0,0
A0025,10,10,10
A0026,9,9,9
A0027,10,10,10
A0027PR,10,10,10
A0028,10,10,10
