ID_Product,Quantity,Quantity_Fourniss_After_Cumule,(2) Main Warehouse
004441121LECN,10,10,10
004441121LEDN,10,10,10
004441121LEFN,0,0,0
004441121LEYN,3,3,3
004441121RECN,10,10,10
004441121REDN,10,10,10
004441121REFN,0,0,0
004441121REYN,0,0,0
002121904N,10,10,10
002121945L,10,10,10
002121945R,10,10,10
0021219B4LE,10,10,10
0021219B4RE,10,10,10
002141625L,0,0,0
002141625R,0,0,0
002141906L,0,0,0
002141906R,0,0,0
002141914L,0,0,0
002141914R,0,0,0
002141923LE,10,10,10
002141923RE,10,10,10
002161506L,0,0,0
002161506R,0,0,0
002161912L,10,10,10
002161912R,8,8,8
002161947LE,10,10,10
002161947RE,10,10,10
003441104LQND,0,0,0
003441104RQND,0,0,0
003441109LQND,10,10,10
003441109RQND,10,10,10
004401905L,5,5,5
004401905R,10,10,10
004401909N,10,10,10
004401910LE,4,4,4
004401910LEDR,0,0,0
004401910LESR,5,5,5
004401910RE,10,10,10
004401910REDR,0,0,0
004401910RESR,10,10,10
004401916LECR,0,0,0
004401916LEYR,0,0,0
004401916RECR,0,0,0
004401916REYR,0,0,0
004401941LE,0,0,0
004401941RE,0,0,0
004401947NE,10,10,10
004401948NE,1,1,1
004401986NE,10,10,10
004491901LE,5,5,5
004491901LECR,0,0,0
004491901RE,10,10,10
004491901REC,0,0,0
004491901RECR,0,0,0
004501901NE,0,0,0
004501901RE,0,0,0
005511919LELD,0,0,0
005511919RELD,10,10,10
005511944NE,0,0,0
005511962NE,0,0,0
005511972NE,0,0,0
005521929LELD,10,10,10
005521929RELD,10,10,10
006631905NE,10,10,10
006631908LE,10,10,10
006631908RE,10,10,10
007711501L,0,0,0
007711501R,0,0,0
007711902NE,0,0,0
007711902RE,0,0,0
007731926NE,10,10,10
007731926NEHRP,2,2,2
0020150004,10,10,10
0020150006B,2,2,2
0020160001,7,7,7
0020160002,10,10,10
0020160003,10,10,10
0020160004,8,8,8
0020160005,8,8,8
0020160006,0,0,0
0020160007,9,9,9
0020160008,10,10,10
