ID_Product,Quantity,Quantity_Fourniss_After_Cumule,Quantity Available
10-0557,98,98,98
10-1226,152,152,152
10-1622,3,3,3
10-0181U,1,1,1
10-0367U,1,1,1
10-0655,43,43,43
10-0858,2,2,2
10-1004,36,36,36
10-1054,1,1,1
10-1082,150,150,150
10-1082U,1,1,1
10-1241U,1,1,1
10-1266,2,2,2
10-1501,1,1,1
10-1550,2,2,2
10-1665,4,4,4
10-1673,1,1,1
10-1708,19,19,19
10-1758,1,1,1
10-1771,49,49,49
10-1808,45,45,45
10-1826,1,1,1
10-2103,87,87,87
10-2486,1,1,1
10-2777U,2,2,2
10-3156,1,1,1
10-3278,3,3,3
10-3742,51,51,51
10-0005,2,2,2
10-0010,2,2,2
10-0045,2,2,2
10-0047,2,2,2
10-0060,1,1,1
10-0075U,2,2,2
10-0076,61,61,61
10-0087,8,8,8
10-0108,7,7,7
10-0126,1,1,1
10-0148,2,2,2
10-0172,1,1,1
10-0177,12,12,12
10-0188,16,16,16
10-0224,4,4,4
10-0228,1,1,1
10-0247,7,7,7
10-0273,1,1,1
10-0277U,1,1,1
10-0288U,1,1,1
10-0292U,2,2,2
10-0298,1,1,1
10-0312,2,2,2
10-0357,1,1,1
10-0358,1,1,1
10-0367,4,4,4
10-0393,3,3,3
10-0406,1,1,1
10-0475,1,1,1
10-0479,2,2,2
10-0487,1,1,1
10-0561,1,1,1
10-0598,4,4,4
10-0672,1,1,1
10-0679,1,1,1
10-0853,1,1,1
10-0886,1,1,1
10-0891,59,59,59
10-0988,2,2,2
10-1009,1,1,1
10-1023,13,13,13
10-1063,2,2,2
10-1129U,1,1,1
10-1159,13,13,13
10-1178,1,1,1
10-1248,1,1,1
10-1361,3,3,3
10-1416,1,1,1
10-1505,1,1,1
10-1643,1,1,1
10-2025,1,1,1
10-2180,3,3,3
10-2272U,18,18,18
10-2447U,1,1,1
10-2607X,1,1,1
10-2795,1,1,1
10-3125,1,1,1
10-3128,21,21,21
10-3128U,1,1,1
10-3210,1,1,1
10-3214,1,1,1
10-3216,1,1,1
10-1639,1,1,1
10-0784,1,1,1
10-1953,38,38,38
10-0088,15,15,15
10-0831,1,1,1
10-1971,1,1,1
10-0144,2,2,2
10-0163,13,13,13
10-1113,1,1,1
10-1013,1,1,1
10-2327,2,2,2
10-0881,5,5,5
10-3258,5,5,5
10-0069,2,2,2
10-0821,22,22,22
10-3486,1,1,1
10-3914,67,67,67
10-0050U,1,1,1
10-4573,99,99,99
10-1500,1,1,1
10-3029,1,1,1
10-3836,1,1,1
10-1754,2,2,2
10-1024,35,35,35
10-0034,42,42,42
10-1493,37,37,37
10-1256,59,59,59
10-1222,4,4,4
10-0225,34,34,34
10-0898,36,36,36
10-0624,74,74,74
10-2251,9,9,9
10-1814,12,12,12
10-0158,4,4,4
10-1504,6,6,6
10-0118,7,7,7
10-1996,2,2,2
10-0803,3,3,3
10-0804,10,10,10
10-1843,1,1,1
10-0256,4,4,4
10-0008,15,15,15
10-2101,3,3,3
10-0026,2,2,2
10-0119,6,6,6
10-2074,31,31,31
10-1111,38,38,38
10-1264,1,1,1
10-0222U,5,5,5
10-0850,20,20,20
10-4421,11,11,11
10-4648,8,8,8
10-5514,17,17,17
10-4435,6,6,6
10-5715,7,7,7
10-4675,3,3,3
10-5651,10,10,10
10-4496,4,4,4
10-4501,2,2,2
10-1385,4,4,4
10-0486U,1,1,1
10-4412,11,11,11
10-3749,5,5,5
10-2934,1,1,1
10-1798,16,16,16
10-2145,2,2,2
10-4114,2,2,2
10-1559,2,2,2
10-1096,2,2,2
10-2183,3,3,3
10-1773,2,2,2
10-1036,18,18,18
10-5730,5,5,5
10-6014,4,4,4
10-0145,24,24,24
10-6159,5,5,5
10-4715,3,3,3
10-0998,23,23,23
10-6027,1,1,1
10-6042,1,1,1
10-5663,2,2,2
10-0673,28,28,28
10-0011,19,19,19
10-2483U,1,1,1
10-0156,20,20,20
10-0969,10,10,10
10-0908,12,12,12
10-1580,2,2,2
10-0639U,2,2,2
10-0574U,1,1,1
10-0240,1,1,1
10-1738,1,1,1
10-1623,2,2,2
10-0572,24,24,24
10-0219,105,105,105
10-0032,11,11,11
10-0836,119,119,119
10-3776,29,29,29
10-3751,2,2,2
10-0404,107,107,107
10-3772,2,2,2
10-0596,3,3,3
10-1088U,1,1,1
10-1183,10,10,10
10-0527,2,2,2
10-3145,2,2,2
10-6155,1,1,1
10-1425,2,2,2
10-3159,19,19,19
10-1017,11,11,11
10-3139,1,1,1
10-0972,57,57,57
10-0869,3,3,3
10-0042,1,1,1
10-3824,1,1,1
10-4422,6,6,6
10-0100,14,14,14
10-3273,3,3,3
10-0754,3,3,3
10-1950U,1,1,1
10-1202,21,21,21
10-2642,3,3,3
10-0723,1,1,1
10-3314,28,28,28
10-0614,34,34,34
10-2110,1,1,1
10-3771,1,1,1
10-4153,2,2,2
10-4678,2,2,2
10-4676,1,1,1
10-4555,1,1,1
10-0544U,1,1,1
10-0387U,1,1,1
10-0145U,7,7,7
10-1692,10,10,10
10-0688,3,3,3
10-0856U,8,8,8
10-0404U,32,32,32
10-0365U,16,16,16
10-0411,2,2,2
10-0201,5,5,5
10-0701,2,2,2
10-0361,1,1,1
10-0113,32,32,32
10-0962,39,39,39
10-2240,15,15,15
10-0141,13,13,13
10-0889,3,3,3
10-0709,46,46,46
10-1840,55,55,55
10-0970,67,67,67
10-1235,1,1,1
10-0124,78,78,78
10-0075,3,3,3
10-1252,12,12,12
10-4174,9,9,9
10-0137,1,1,1
10-2243,3,3,3
10-0966,18,18,18
10-6024,1,1,1
10-0496,2,2,2
10-1464,1,1,1
10-4447,4,4,4
10-0885,12,12,12
10-1515,1,1,1
10-1671,75,75,75
10-1413,9,9,9
10-1018,10,10,10
10-1189,1,1,1
10-3127,3,3,3
10-1875,6,6,6
10-2621,1,1,1
10-0497,10,10,10
10-1483,6,6,6
10-1399,33,33,33
10-1828,15,15,15
10-0780,2,2,2
10-0554,1,1,1
10-0841,9,9,9
10-0800,2,2,2
10-0162,1,1,1
10-2095,24,24,24
10-3955,1,1,1
10-0637,3,3,3
10-1188,14,14,14
10-1414,4,4,4
10-2717,4,4,4
10-0612,2,2,2
10-1097,14,14,14
10-0117,5,5,5
10-2059,1,1,1
10-1343,1,1,1
10-0879,1,1,1
10-1368,1,1,1
10-1725U,1,1,1
10-4265U,1,1,1
10-0117U,1,1,1
10-1956,1,1,1
10-0706,3,3,3
10-0953,3,3,3
10-1250,7,7,7
10-4582,1,1,1
10-1032,3,3,3
10-0383,2,2,2
10-4133,2,2,2
10-3379,1,1,1
10-0509,1,1,1
10-2142,1,1,1
10-4168,1,1,1
10-6025,1,1,1
10-3949,2,2,2
10-6015U,1,1,1
10-3483,2,2,2
10-3039,1,1,1
10-0380U,2,2,2
10-3456,1,1,1
10-5823,2,2,2
10-3288,1,1,1
10-1243,1,1,1
10-5679,4,4,4
10-4147,1,1,1
10-5570,1,1,1
10-4702,1,1,1
10-5749,1,1,1
10-2479,2,2,2
10-5708,1,1,1
10-6164,1,1,1
10-3133,1,1,1
10-5721,1,1,1
10-6013,2,2,2
10-5738,1,1,1
10-2154,1,1,1
10-5612,40,40,40
10-2588,1,1,1
10-3667,2,2,2
10-2158,1,1,1
10-4387,2,2,2
10-5875,2,2,2
10-3988,1,1,1
10-2788,3,3,3
10-2113,1,1,1
10-5632,1,1,1
10-2556,11,11,11
10-3489,1,1,1
10-3944,1,1,1
10-4113,7,7,7
10-3993,9,9,9
10-4072,2,2,2
10-4128,2,2,2
10-3999,2,2,2
10-5650,1,1,1
10-3141,2,2,2
10-4701,2,2,2
10-4630,2,2,2
10-0914,7,7,7
10-2196,1,1,1
10-3913,11,11,11
10-2275,1,1,1
10-1682,1,1,1
10-2120,1,1,1
10-2122,2,2,2
10-2461,2,2,2
10-2065,3,3,3
10-0280,1,1,1
10-1050,12,12,12
10-4125,2,2,2
10-4511,2,2,2
10-4368,4,4,4
10-5817,1,1,1
10-3123,5,5,5
10-4596,1,1,1
10-3254,10,10,10
10-4617,2,2,2
10-5636U,2,2,2
10-0629U,1,1,1
10-5591U,1,1,1
10-4206U,1,1,1
10-5646U,2,2,2
10-5641U,1,1,1
10-4382,2,2,2
10-3987,1,1,1
10-5964U,1,1,1
10-4618,2,2,2
10-4297,1,1,1
10-0697,2,2,2
10-2184,5,5,5
10-4620,3,3,3
10-3996,27,27,27
10-3991,1,1,1
10-3305,1,1,1
10-3941,2,2,2
10-3116,1,1,1
10-3733,2,2,2
10-1763,9,9,9
10-3972,2,2,2
10-4158,2,2,2
10-0081,106,106,106
10-3520,1,1,1
10-0166,2,2,2
10-1052,1,1,1
10-3956,1,1,1
10-1216,50,50,50
10-1606,4,4,4
10-0742,1,1,1
10-3399,1,1,1
10-1450,1,1,1
10-0816,2,2,2
10-1324,1,1,1
10-1861,2,2,2
10-3580,2,2,2
10-0566,5,5,5
10-1687,2,2,2
10-1689,2,2,2
10-2123,1,1,1
10-1110,1,1,1
10-2124,4,4,4
10-6176,25,25,25
10-1354,1,1,1
10-2201,3,3,3
10-2263,1,1,1
10-0293,24,24,24
10-4608,1,1,1
10-3804,5,5,5
10-0530,4,4,4
10-3143,3,3,3
10-3124,2,2,2
10-4391,2,2,2
10-2700,1,1,1
10-2047,3,3,3
10-4378,1,1,1
10-2661,2,2,2
10-3369,1,1,1
10-3562,2,2,2
10-5569,4,4,4
10-4278,1,1,1
10-5633,1,1,1
10-0276,10,10,10
10-3119,1,1,1
10-0353,3,3,3
10-3643,1,1,1
10-3259,1,1,1
10-3639,2,2,2
10-2759,1,1,1
10-5537,1,1,1
10-3982,1,1,1
10-5991,1,1,1
10-3241,18,18,18
10-0191U,1,1,1
10-3960,3,3,3
