ID_Product,Quantity,Quantity_Fourniss_After_Cumule,AVAILABLE
02SKV004,100,100,100
02SKV005,100,100,100
02SKV006,100,100,100
02SKV007,100,100,100
02SKV009,100,100,100
02SKV010,100,100,100
02SKV012,100,100,100
02SKV201,100,100,100
02SKV203,100,100,100
02SKV204,100,100,100
02SKV205,100,100,100
02SKV206,100,100,100
02SKV207,100,100,100
02SKV209,100,100,100
02SKV255,100,100,100
02SKV212,100,100,100
02SKV213,100,100,100
02SKV700,0,0,0
02SKV214,100,100,100
02SKV215,100,100,100
02SKV216,100,100,100
02SKV219,100,100,100
02SKV220,100,100,100
02SKV221,100,100,100
02SKV283,100,100,100
02SKV284,100,100,100
02SKV223,100,100,100
02SKV224,100,100,100
02SKV225,100,100,100
02SKV227,100,100,100
02SKV702,100,100,100
02SKV228,100,100,100
02SKV703,100,100,100
02SKV704,0,0,0
02SKV712,100,100,100
02SKV232,100,100,100
02SKV233,100,100,100
02SKV234,100,100,100
02SKV235,100,100,100
02SKV718,100,100,100
02SKV237,100,100,100
02SKV239,100,100,100
02SKV726,100,100,100
02SKV241,100,100,100
02SKV242,100,100,100
02SKV243,100,100,100
02SKV014,100,100,100
02SKV016,100,100,100
02SKV245,100,100,100
02SKV017,100,100,100
02SKV263,100,100,100
02SKV249,100,100,100
02SKV251,100,100,100
02SKV252,100,100,100
02SKV018,100,100,100
02SKV271,100,100,100
02SKV256,100,100,100
02SKV254,100,100,100
02SKV738,0,0,0
02SKV723,100,100,100
02SKV731,100,100,100
02SKV250,100,100,100
08SKV003,100,100,100
08SKV004,100,100,100
08SKV005,100,100,100
08SKV006,100,100,100
08SKV007,100,100,100
08SKV008,100,100,100
08SKV009,100,100,100
08SKV012,100,100,100
08SKV015,100,100,100
08SKV013,100,100,100
08SKV014,100,100,100
08SKV016,100,100,100
08SKV025,0,0,0
08SKV026,100,100,100
08SKV027,100,100,100
08SKV028,100,100,100
08SKV030,100,100,100
08SKV031,0,0,0
08SKV032,100,100,100
08SKV037,0,0,0
08SKV038,100,100,100
08SKV039,100,100,100
08SKV029,100,100,100
08SKV040,100,100,100
08SKV001,100,100,100
08SKV221,100,100,100
08SKV234,100,100,100
08SKV223,100,100,100
08SKV220,100,100,100
08SKV209,100,100,100
08SKV206,100,100,100
08SKV200,100,100,100
08SKV201,100,100,100
07SKV003,0,0,0
07SKV004,100,100,100
07SKV008,100,100,100
07SKV009,100,100,100
07SKV012,100,100,100
07SKV014,100,100,100
07SKV016,100,100,100
07SKV017,100,100,100
07SKV021,100,100,100
07SKV026,100,100,100
07SKV035,100,100,100
07SKV036,100,100,100
07SKV041,100,100,100
07SKV042,100,100,100
07SKV044,100,100,100
07SKV048,100,100,100
07SKV054,100,100,100
07SKV055,100,100,100
07SKV069,100,100,100
07SKV071,100,100,100
07SKV073,100,100,100
07SKV076,100,100,100
07SKV080,100,100,100
07SKV081,100,100,100
07SKV083,100,100,100
07SKV084,100,100,100
07SKV099,100,100,100
5WK9612,0,0,0
07SKV127,100,100,100
07SKV130,100,100,100
09SKV906,100,100,100
09SKV070,0,0,0
09SKV005,100,100,100
09SKV022,100,100,100
09SKV030,100,100,100
09SKV069,100,100,100
09SKV063,100,100,100
09SKV054,100,100,100
95SKV902,100,100,100
07SKV120,100,100,100
07SKV119,100,100,100
07SKV001,100,100,100
07SKV005,0,0,0
07SKV010,100,100,100
07SKV022,100,100,100
07SKV027,0,0,0
07SKV037,0,0,0
07SKV063,100,100,100
02SKV272,100,100,100
02SKV246,100,100,100
02SKV200,100,100,100
08SKV219,100,100,100
08SKV044,100,100,100
07SKV125,100,100,100
02SKV725,0,0,0
02SKV013,100,100,100
95SKV901,100,100,100
07SKV114,100,100,100
08SKV033,100,100,100
95SKV703,100,100,100
02SKV717,100,100,100
09SKV904,100,100,100
12SKV016,100,100,100
12SKV018,100,100,100
12SKV020,100,100,100
02SKV714,100,100,100
02SKV735,100,100,100
08SKV010,100,100,100
08SKV017,100,100,100
08SKV036,0,0,0
08SKV024,100,100,100
08SKV022,100,100,100
09SKV014,100,100,100
12SKV015,100,100,100
12SKV025,100,100,100
07SKV121,100,100,100
07SKV147,100,100,100
07SKV142,0,0,0
07SKV150,100,100,100
07SKV116,100,100,100
07SKV011,100,100,100
07SKV115,0,0,0
07SKV038,100,100,100
07SKV144,100,100,100
07SKV028,0,0,0
07SKV024,100,100,100
07SKV018,100,100,100
03SKV001,100,100,100
06SKV009,100,100,100
06SKV011,100,100,100
06SKV032,100,100,100
06SKV029,100,100,100
07SKV066,0,0,0
07SKV124,100,100,100
07SKV126,100,100,100
07SKV122,100,100,100
07SKV117,100,100,100
03SKV014,100,100,100
02SKV015,100,100,100
03SKV013,100,100,100
08SKV043,100,100,100
08SKV023,100,100,100
03SKV008,100,100,100
09SKV901,100,100,100
02SKV734,100,100,100
02SKV261,0,0,0
02SKV733,0,0,0
95SKV702,100,100,100
07SKV064,100,100,100
12SKV014,100,100,100
07SKV029,100,100,100
09SKV032,100,100,100
09SKV033,0,0,0
09SKV018,100,100,100
09SKV051,100,100,100
09SKV076,100,100,100
09SKV019,100,100,100
09SKV009,0,0,0
09SKV068,100,100,100
09SKV065,100,100,100
09SKV021,100,100,100
09SKV010,100,100,100
09SKV050,100,100,100
09SKV034,100,100,100
09SKV017,100,100,100
09SKV043,100,100,100
09SKV001,100,100,100
09SKV013,100,100,100
09SKV006,100,100,100
09SKV048,100,100,100
09SKV046,100,100,100
09SKV025,100,100,100
09SKV059,0,0,0
09SKV040,100,100,100
09SKV078,100,100,100
