ID_Product,Quantity,Quantity_Fourniss_After_Cumule
000064,54,54
000073,0,0
000090,23,23
000103,12,12
000139,29,29
031202,2,2
0339-1,1,1
0409G,1,1
051224,2,2
0513C,0,0
0530-2,1,1
053002,4,4
053003,5,5
053004,3,3
053013,28,28
053017,32,32
053019,31,31
053020,76,76
053040,23,23
053045,18,18
053048,106,106
053049,21,21
05999,0,0
05P002,0,0
05P003,0,0
05P007,0,0
05P010,0,0
05P011,3,3
05P012,2,2
05P013,0,0
05P014,1,1
05P015,0,0
05P016,2,2
05P017,0,0
05P024,0,0
05P026,0,0
05P032,2,2
05P035,2,2
05P036,1,1
05P037,1,1
05P040,0,0
05P041,2,2
05P043,1,1
05P056,2,2
05P058,2,2
05P061,0,0
05P071,2,2
05P088,0,0
05P089,3,3
05P090,5,5
05P092,1,1
05P094,6,6
05P095,2,2
05P1000A,3,3
05P1001,8,8
05P1002,0,0
05P1004,1,1
05P1005,1,1
05P1006,0,0
05P1008,2,2
05P1009,1,1
05P101,0,0
05P1015,2,2
05P1018,1,1
05P102,0,0
05P1025,1,1
05P1029,0,0
05P1030,0,0
05P1031,0,0
05P1036,21,21
05P1037,0,0
05P1041,1,1
05P1042,1,1
05P1043,0,0
05P1044,0,0
05P1045,0,0
05P1046,0,0
05P1050,1,1
05P1053,1,1
05P1054,12,12
05P1056,2,2
05P1059,3,3
05P1061,0,0
05P1062,0,0
05P1065,2,2
05P1066,1,1
05P1068,4,4
05P1069,1,1
05P107,3,3
05P1070,1,1
05P1071,3,3
05P1072,3,3
05P1080,4,4
05P1098,2,2
05P1101,1,1
05P1105,19,19
05P1106,13,13
05P1107,19,19
05P1109,0,0
05P1109A,2,2
05P1112,3,3
05P1113,1,1
05P1114,1,1
05P1115,0,0
05P1119,4,4
05P1120,2,2
05P1121,2,2
05P1124,4,4
05P1124A,2,2
05P113,0,0
05P1131,1,1
05P1137,0,0
05P1140,3,3
05P1141,0,0
05P117,0,0
05P118,0,0
05P1188,41,41
05P1190,3,3
05P1193,6,6
05P1194,4,4
05P1195,10,10
05P1196,10,10
05P1197,29,29
05P1202,4,4
05P1203,1,1
05P1205,2,2
05P1206,4,4
05P1207,0,0
05P1210,0,0
05P1212,1,1
05P1215,2,2
05P1219,0,0
05P1220,3,3
05P1221,0,0
05P1224,2,2
05P1226,2,2
05P1228,0,0
05P1229,3,3
05P1230,0,0
05P1231,6,6
05P1232,4,4
05P1233,1,1
05P1234,0,0
05P1235,16,16
05P1236,25,25
05P1237,0,0
05P1238,4,4
05P1239,2,2
05P1240,5,5
05P1241,0,0
05P1242,8,8
05P1243,2,2
05P1244,0,0
05P1245,1,1
05P1246,10,10
05P1247,2,2
05P1248,11,11
05P1249,7,7
05P1250,1,1
05P1251,2,2
05P1252,15,15
05P1253,2,2
05P1254,3,3
05P1255,4,4
05P1257,3,3
05P1258,0,0
05P1259,0,0
05P1260,0,0
05P1261,6,6
05P1263,2,2
05P1264,5,5
05P1265,2,2
05P1267,1,1
05P1269,9,9
05P1270,2,2
05P1271,3,3
05P1272,2,2
05P1273,0,0
05P1274,0,0
05P1275,8,8
05P1276,1,1
05P1277,4,4
05P1278,12,12
05P1279,9,9
05P128,4,4
05P1280,0,0
05P1281,6,6
05P1282,3,3
05P1283,6,6
05P1284,1,1
05P1285,0,0
05P1286,5,5
05P1287,8,8
05P1288,12,12
05P1289,19,19
05P129,0,0
05P1290,0,0
05P1291,2,2
05P1292,3,3
05P1293,9,9
05P1294,2,2
05P1295,2,2
05P1296,11,11
05P1297,5,5
05P1303,3,3
05P131,0,0
05P1313,0,0
05P1314,11,11
05P1315,3,3
05P1316,0,0
05P1317,3,3
05P1318,4,4
05P1319,4,4
05P1322,2,2
05P1323,2,2
05P1326,2,2
05P1328,8,8
05P133,7,7
05P1333,0,0
05P1334,3,3
05P1336,3,3
05P1340,7,7
05P1343,3,3
05P1344,3,3
05P1345,1,1
05P1347,4,4
05P1348,14,14
05P1349,5,5
05P1351,43,43
05P1353,1,1
05P1354,1,1
05P1355,0,0
05P1358,0,0
05P1359,2,2
05P1360,1,1
05P1361,0,0
05P1362,2,2
05P1363,2,2
05P1365,0,0
05P1366,0,0
05P1367,0,0
05P1368,0,0
05P1369,4,4
05P137,2,2
05P1370,1,1
05P1372,2,2
05P1373,0,0
05P1374,0,0
05P1375,6,6
05P1376,2,2
05P1378,1,1
05P1379,2,2
05P1380,0,0
05P1382,0,0
05P1384,1,1
05P1387,0,0
05P1388,2,2
05P1389,9,9
05P139,0,0
05P1390,4,4
05P1391,1,1
05P1392,4,4
05P1393,0,0
05P1398,3,3
05P1398A,1,1
05P1399,1,1
05P140,0,0
05P1400,2,2
05P1401,2,2
05P1402,1,1
05P1403,3,3
05P1405,1,1
05P1406,3,3
05P1407,0,0
05P1408,2,2
05P1409,2,2
05P1410,2,2
05P1411,0,0
05P1412,0,0
05P1413,0,0
05P1415,5,5
05P1416,0,0
05P1417,0,0
05P142,1,1
05P1420,3,3
05P1420A,0,0
05P1421,0,0
05P143,0,0
05P1430,0,0
05P1441,0,0
05P1443,1,1
05P1444,2,2
05P1448,0,0
05P1453,1,1
05P1456,0,0
05P146,0,0
05P1460,40,40
05P1464,2,2
05P1465,24,24
05P1467,2,2
05P1469,0,0
05P1470,3,3
05P1471,63,63
05P1472,0,0
05P1474,6,6
05P1475,30,30
05P1476,5,5
05P1477,0,0
05P1480,7,7
05P1481,3,3
05P1482,4,4
05P1483,0,0
05P1484,22,22
05P1485,3,3
05P1486,9,9
05P1487,22,22
05P1489,3,3
05P1490,0,0
05P1491,1,1
05P1493,37,37
05P1495,16,16
05P1496,0,0
05P1498,0,0
05P1499,0,0
05P150,1,1
05P1500,66,66
05P1504,3,3
05P1505,0,0
05P1506,1,1
05P1508,10,10
05P1509,0,0
05P151,0,0
05P1511,1,1
05P1518,0,0
05P1519,0,0
05P1522,0,0
05P1528,1,1
05P1533,3,3
05P1534,11,11
05P1535,2,2
05P1536,2,2
05P1541,0,0
05P1548,1,1
05P1550,0,0
05P1551,0,0
05P1552,1,1
05P1553,0,0
05P1554,0,0
05P156,2,2
05P1561,2,2
05P1562,2,2
05P1566,0,0
05P1567,10,10
05P157,2,2
05P1570,1,1
05P1571,0,0
05P1575,3,3
05P1578,15,15
05P1579,3,3
05P158,0,0
05P1581,0,0
05P1584,2,2
05P1589,5,5
05P1590,12,12
05P1597,0,0
05P1599,2,2
05P1600,4,4
05P1602,3,3
05P1603,2,2
05P1605,3,3
05P1606,12,12
05P1608,3,3
05P161,2,2
05P1610,0,0
05P1618,2,2
05P1619,5,5
05P1621,0,0
05P1623,0,0
05P1626A,0,0
05P1627,2,2
05P1629,0,0
05P1630,4,4
05P1631,0,0
05P1637,11,11
05P1641,0,0
05P1649,0,0
05P1650,3,3
05P1653,5,5
05P1654,6,6
05P1656,3,3
05P1660,1,1
05P1661,7,7
05P1662,0,0
05P1663,0,0
05P1665,1,1
05P1667,0,0
05P1668,2,2
05P1669,1,1
05P1673,9,9
05P1674,4,4
05P1675,0,0
05P1678,8,8
05P1694,0,0
05P1696,0,0
05P1698,1,1
05P1699,3,3
05P1702,75,75
05P1710,5,5
05P1721,9,9
05P1722,0,0
05P1723,0,0
05P1731,8,8
05P1732,6,6
05P1739,1,1
05P1740,4,4
05P1741,6,6
05P1744,1,1
05P1748,0,0
05P1752,4,4
05P1755,1,1
05P1760,0,0
05P1761,0,0
05P1762,0,0
05P1767,1,1
05P1768,2,2
05P1769,0,0
05P1770,16,16
05P1772,1,1
05P1773,1,1
05P1780,0,0
05P1781,5,5
05P1782,5,5
05P1783,0,0
05P1784,0,0
05P1785,3,3
05P1786,0,0
05P1787,0,0
05P1788,78,78
05P179,0,0
05P1790,2,2
05P1795K,0,0
05P1800,3,3
05P1801,0,0
05P1802,0,0
05P1803,0,0
05P181,0,0
05P1815,0,0
05P1834,2,2
05P1835,17,17
05P1836,4,4
05P1838,3,3
05P1845,37,37
05P185,2,2
05P1851,0,0
05P1852,12,12
05P1853,0,0
05P1856,10,10
05P1862,11,11
05P1867,0,0
05P187,2,2
05P1873,11,11
05P1876,3,3
05P1878,2,2
05P1879,5,5
05P188,0,0
05P1882,11,11
05P190,8,8
05P1901,19,19
05P1902,0,0
05P1903,7,7
05P1906,0,0
05P1912,0,0
05P1917,0,0
05P1918,2,2
05P1929,1,1
05P194,0,0
05P195,3,3
05P1951,0,0
05P1952,5,5
05P1953,0,0
05P1954,0,0
05P1963,43,43
05P1972,1,1
05P1974,0,0
05P1975,9,9
05P1976,4,4
05P1979,10,10
05P1981,3,3
05P1982,39,39
05P1987,0,0
05P1992,0,0
05P1993,0,0
05P1996,2,2
05P1997K,0,0
05P2003,1,1
05P2005,7,7
05P201,0,0
05P2012,0,0
05P2019,3,3
05P202,0,0
05P2022,2,2
05P2025,44,44
05P2029,0,0
05P2030,13,13
05P2031,2,2
05P2033,1,1
05P2034,16,16
05P2036,1,1
05P2038,0,0
05P2039,0,0
05P2045,10,10
05P2049,0,0
05P2049K,0,0
05P2050,0,0
05P2050K,0,0
05P2056,0,0
05P206,2,2
05P2066,2,2
05P2067,0,0
05P2076,0,0
05P2080,0,0
05P2083,3,3
05P2084,0,0
05P2093,0,0
05P2095,0,0
05P2096,0,0
05P210,1,1
05P2103,0,0
05P2104,0,0
05P2107,0,0
05P2107K,0,0
05P211,0,0
05P2114,0,0
05P2115K,0,0
05P2121,0,0
05P2122,2,2
05P2138,0,0
05P2140,0,0
05P2144,2,2
05P2146,1,1
05P2154,0,0
05P216,2,2
05P217,5,5
05P2175,0,0
05P2187,14,14
05P221,1,1
05P2221,2,2
05P223,0,0
05P224,5,5
05P225,1,1
05P228,2,2
05P230,4,4
05P231,17,17
05P2314,0,0
05P232,2,2
05P2328,2,2
05P233,0,0
05P234,0,0
05P237,2,2
05P238,4,4
05P258,1,1
05P260,2,2
05P264,0,0
05P268,0,0
05P269,0,0
05P271,16,16
05P274,3,3
05P276,0,0
05P277,0,0
05P278,2,2
05P279,2,2
05P280,2,2
05P281,0,0
05P282,3,3
05P283,14,14
05P286,1,1
05P288,2,2
05P289,1,1
05P290,0,0
05P293,9,9
05P294,12,12
05P295,4,4
05P296,2,2
05P297,0,0
05P298,5,5
05P299,4,4
05P300,2,2
05P302,1,1
05P304,0,0
05P306,0,0
05P307,28,28
05P310,2,2
05P314,0,0
05P315,0,0
05P318,2,2
05P319,2,2
05P322,1,1
05P324,2,2
05P325,0,0
05P327,0,0
05P328,1,1
05P331,3,3
05P332,0,0
05P333,0,0
05P334,2,2
05P335,0,0
05P336,0,0
05P339,0,0
05P342,0,0
05P343,1,1
05P345,4,4
05P346,5,5
05P347,1,1
05P348,0,0
05P349,124,124
05P350,0,0
05P352,4,4
05P354,1,1
05P355,0,0
05P362,0,0
05P366,5,5
05P367,1,1
05P372,1,1
05P376,3,3
05P378,3,3
05P383,3,3
05P384,9,9
05P387,0,0
05P388,0,0
05P391,0,0
05P396,3,3
05P405,1,1
05P406,3,3
05P408,3,3
05P409,4,4
05P414,0,0
05P415,4,4
05P417,2,2
05P418,2,2
05P420,0,0
05P422,4,4
05P425,0,0
05P427,0,0
05P428,2,2
05P429,1,1
05P430,3,3
05P431,0,0
05P433,0,0
05P435,8,8
05P436,6,6
05P437,3,3
05P439,0,0
05P440,2,2
05P444,5,5
05P445,6,6
05P449,2,2
05P450,7,7
05P452,3,3
05P453,1,1
05P457,0,0
05P459,5,5
05P461,4,4
05P462,3,3
05P463,61,61
05P464,2,2
05P465,2,2
05P469,1,1
05P470,0,0
05P471,0,0
05P472,2,2
05P477,4,4
05P478,0,0
05P480,0,0
05P481,3,3
05P482,0,0
05P483,0,0
05P484,6,6
05P485,0,0
05P486,2,2
05P487,0,0
05P492,0,0
05P492A,0,0
05P493,12,12
05P494,6,6
05P495,1,1
05P496,0,0
05P497,3,3
05P498,4,4
05P499,0,0
05P506,0,0
05P508,3,3
05P510,1,1
05P512,3,3
05P515,0,0
05P516,1,1
05P517,1,1
05P518,0,0
05P520,0,0
05P524,3,3
05P537,0,0
05P539,0,0
05P542,2,2
05P544,1,1
05P546,1,1
05P550,1,1
05P553,0,0
05P558,0,0
05P559,2,2
05P561,0,0
05P564,0,0
05P565,9,9
05P567,2,2
05P569,2,2
05P570,1,1
05P575,1,1
05P577,2,2
05P578,5,5
05P580,5,5
05P582,6,6
05P583,0,0
05P585,7,7
05P587,1,1
05P591,4,4
05P592,3,3
05P595,1,1
05P599,2,2
05P600,3,3
05P601,2,2
05P602,2,2
05P605,3,3
05P608,1,1
05P609,0,0
05P610,0,0
05P611,0,0
05P612,3,3
05P613,2,2
05P614,4,4
05P615,4,4
05P617,2,2
05P619,7,7
05P620,15,15
05P621,4,4
05P622,3,3
05P623,1,1
05P624,2,2
05P625,1,1
05P627,0,0
05P628,3,3
05P629,4,4
05P632,0,0
05P633,2,2
05P633A,0,0
05P634,304,304
05P635,1,1
05P636,0,0
05P638,4,4
05P639,0,0
05P640,0,0
05P642,11,11
05P643,6,6
05P644,6,6
05P645,0,0
05P646,0,0
05P650,5,5
05P652,2,2
05P654,0,0
05P656,4,4
05P659,0,0
05P662,17,17
05P663,0,0
05P664,6,6
05P667,4,4
05P668,7,7
05P669,3,3
05P670,2,2
05P672,0,0
05P674,0,0
05P675,3,3
05P677,0,0
05P678,1,1
05P679,0,0
05P683,3,3
05P684,7,7
05P684B,3,3
05P685,1,1
05P686,0,0
05P687,5,5
05P688,0,0
05P689,5,5
05P690,3,3
05P692,10,10
05P693,1,1
05P695,2,2
05P696,13,13
05P697,3,3
05P698,3,3
05P699,5,5
05P700,2,2
05P704,2,2
05P705,5,5
05P706,2,2
05P707,2,2
05P708,22,22
05P709,1,1
05P711,1,1
05P713,0,0
05P714,2,2
05P716,0,0
05P717,0,0
05P718,2,2
05P719,9,9
05P721,1,1
05P725,3,3
05P726,3,3
05P728,0,0
05P729,0,0
05P730,4,4
05P731,2,2
05P736,2,2
05P737,1,1
05P739,0,0
05P740,0,0
05P745,2,2
05P747,0,0
05P749,2,2
05P750,3,3
05P755,0,0
05P756,0,0
05P757,7,7
05P761,4,4
05P763,0,0
05P764,14,14
05P766,10,10
05P767,8,8
05P768,2,2
05P769,1,1
05P771,1,1
05P772,1,1
05P775,0,0
05P776,1,1
05P777,5,5
05P778,2,2
05P785,0,0
05P787,0,0
05P790,11,11
05P791,28,28
05P792,2,2
05P793,4,4
05P794,1,1
05P795,0,0
05P796,1,1
05P798,3,3
05P799,0,0
05P800,4,4
05P801,3,3
05P802,137,137
05P805,43,43
05P806,14,14
05P807,25,25
05P808,1,1
05P811,3,3
05P814,2,2
05P815,24,24
05P816,24,24
05P817,3,3
05P818,1,1
05P830,1,1
05P831,6,6
05P833,0,0
05P836,1,1
05P837,4,4
05P838,1,1
05P840,0,0
05P841,2,2
05P842,0,0
05P845,0,0
05P846,0,0
05P848,2,2
05P849,1,1
05P849A,0,0
05P850,4,4
05P851,0,0
05P853,0,0
05P855,0,0
05P856,1,1
05P859,0,0
05P861,8,8
05P863,6,6
05P864,4,4
05P865,1,1
05P866,30,30
05P867,187,187
05P869,8,8
05P871,4,4
05P876,1,1
05P877,2,2
05P878,2,2
05P881,1,1
05P883,4,4
05P884,17,17
05P885,2,2
05P893,0,0
05P894,1,1
05P897,9,9
05P898,6,6
05P899,0,0
05P900,0,0
05P901,0,0
05P903,10,10
05P904,0,0
05P905,2,2
05P906,2,2
05P908,3,3
05P909,3,3
05P910,3,3
05P911,53,53
05P912,6,6
05P922,1,1
05P940,1,1
05P946,44,44
05P947,0,0
05P948,5,5
05P949,6,6
05P950,3,3
05P952,0,0
05P954,2,2
05P955,3,3
05P956,0,0
05P957,1,1
05P958,6,6
05P964,0,0
05P965,2,2
05P966,7,7
05P967,2,2
05P968,2,2
05P969,0,0
05P971,2,2
05P973,1,1
05P974,5,5
05P975,0,0
05P979,4,4
05P980,3,3
05P981,2,2
05P982,4,4
05P983,3,3
05P985,1,1
05P986,1,1
05P989,0,0
05P990,1,1
05P991,0,0
05P994,3,3
05P996,0,0
05P997,1,1
05P998,2,2
0636-1,5,5
0636-10,6,6
0636-7,111,111
0636-9,6,6
0637-1,4,4
0637-10,1,1
0637-3,8,8
0637-5,7,7
0637-7,20,20
0637-9,13,13
0697H,0,0
0699-1,2,2
0699-4,0,0
0699-5,11,11
070156,1,1
070165,13,13
070168,0,0
070169,1,1
070170,8,8
070271,6,6
070355,10,10
071206,4,4
071208,19,19
071218,8,8
071221,7,7
071223,15,15
071228,4,4
071230,5,5
071231,6,6
071233,25,25
071236,5,5
071237,1,1
071238,4,4
071239,6,6
071240,4,4
071241,3,3
071242,8,8
071243,2,2
071244,0,0
071245,0,0
071246,2,2
071247,2,2
071248,2,2
071249,2,2
071250,6,6
084531,3,3
0926H,2,2
0955-1,10,10
0955-2,3,3
10002,1,1
1000275AR,62,62
1000275ARPLAT,194,194
1000300AR,700,700
1000301,500,500
1000301AR,142,142
1000350,579,579
1000350AR,306,306
1000351,407,407
1000380,275,275
1000381,178,178
10004,0,0
1000400,1000,1000
1000400AR,39,39
1000401,616,616
1000430,202,202
1000450,893,893
1000451,490,490
1000480,186,186
1000481,216,216
1000500,1026,1026
1000501,453,453
1000530,393,393
1000531,215,215
1000550,1185,1185
1000551,674,674
10006,2,2
1000600,1088,1088
1000601,1515,1515
1000650,1319,1319
1000651,2194,2194
1000701,599,599
1000751,296,296
1000801,316,316
10015,1,1
100165,1,1
100170,1,1
100176,0,0
100178,1,1
100182,1,1
100275,0,0
100277,4,4
100278,1,1
100280,1,1
100299,6,6
100373,3,3
100376,1,1
10051,2,2
10052,3,3
10075,4,4
10076,0,0
101076,1,1
10141,16,16
10151,1,1
10152,2,2
10181,1,1
10182,4,4
10200G,1,1
102032,2,2
10207,1,1
1020801,9,9
1020802,14,14
1020803,9,9
1020804,2,2
102100,34,34
1021001,42,42
1021002,43,43
102101,23,23
102102,55,55
102103,88,88
102109,491,491
102118,2,2
10215,0,0
10221,2,2
10224,1,1
1022501,61,61
1022502,31,31
1022590,8,8
10227,359,359
1022D05FR,69,69
1022D1FR,36,36
102500,121,121
10251,0,0
10252,1,1
10255,2,2
10256,1,1
10257,2,2
10258,1,1
102580,4,4
10259,4,4
10260,2,2
10263,3,3
10265,0,0
10267,2,2
10271,49,49
10272,7,7
10273,6,6
10274,7,7
1027507,1,1
1027508,1,1
1027523,2,2
1027525,2,2
1027529,1,1
1027530,1,1
1027531,6,6
1027532,1,1
10278,1,1
10279,11,11
10280,4,4
10282,1,1
10283,12,12
10285,5,5
10286,3,3
10287,5,5
10288,4,4
10289,1,1
10296,9,9
10297,2,2
10299,8,8
102997,11,11
102998,79,79
102999,64,64
10303,10,10
10315,0,0
10316,16,16
10320,11,11
1032590,20,20
10340,2,2
10350,5,5
10369,7,7
10370,5,5
10371,9,9
10372,1,1
10375,17,17
10376,7,7
10377,50,50
10378,16,16
10395,4,4
10396,0,0
10397,1,1
10401,1,1
10403,0,0
104040,53,53
10407,3,3
1041H,17,17
1042001,5,5
