ID_Product;Quantity;Quantity_Fourniss_After_Cumule;Qty Available
62301X;1;1;1
1574604;1;1;1
171-626;1;1;1
171-848;1;1;1
18A403;1;1;1
2131690;1;1;1
215-656;1;1;1
509-317;2;2;2
84190096;1;1;1
93267112;2;2;2
CF197;1;1;1
D2215D;10;10;10
51782;1;1;1
55532;1;1;1
55540;1;1;1
3104G;2;2;2
9202930;1;1;1
KAJ13P0;2;2;2
15F475;3;3;3
M045-01;1;1;1
N002-57;3;3;3
N002-72;4;4;4
25-2810-517;1;1;1
25-6011-507;1;1;1
27-7470-701;1;1;1
31-3366-024;1;1;1
31-6704-094;1;1;1
03.0350-1924.2;2;2;2
03.2120-1531.3;2;2;2
03.2525-2711.3;1;1;1
13.0460-7084.2;1;1;1
24.0112-0215.1;2;2;2
24.0118-0111.1;2;2;2
24.0125-0142.1;1;1;1
24.0128-0269.1;1;1;1
24.2120-1736.3;1;1;1
24.3220-0909.3;1;1;1
24.8134-0547.1;5;5;5
01-3012680267-A;1;1;1
1013040667;6;6;6
3003740176;1;1;1
3062380389;2;2;2
54;1;1;1
620;1;1;1
AS697;1;1;1
AUTOSOCK62;2;2;2
CA-VWM01;1;1;1
DBC114080Y;2;2;2
0100226517;2;2;2
BR1746;1;1;1
BR1942;1;1;1
BX3075;3;3;3
RD0006;1;1;1
RD0441;3;3;3
RS4635;1;1;1
7607001514;1;1;1
7607001604;1;1;1
7607596511;1;1;1
7607621139;1;1;1
7607621155;3;3;3
ADN12350;1;1;1
ADN12522;4;4;4
01402970321;1;1;1
07119904436;5;5;5
07119904790;2;2;2
07119905328;1;12;12
07119905328;11;12;12
07119905468;1;1;1
07119907837;7;7;7
07129904977;30;30;30
07130702715;8;8;8
07146875114;10;10;10
07146961019;10;10;10
07147029829;10;46;46
07147029829;36;46;46
07147395678;10;10;10
07147440172;30;30;30
07149487466;15;15;15
11009067821;1;1;1
11117568263;1;1;1
11118328684;1;1;1
11120030496;9;9;9
11127508543;1;1;1
11127513944;2;2;2
11127558448;5;5;5
11127788651;1;1;1
11127809513;1;1;1
11128512674;1;1;1
11129454322;10;10;10
11132210959;9;9;9
11137578545;70;70;70
11141739906;1;1;1
11147787104;1;1;1
11147787331;1;1;1
11147805740;1;1;1
11148510114;1;1;1
11148513351;1;1;1
11148514331;1;1;1
11158681475;1;2;2
11158681475;1;2;2
11158681484;1;3;3
11158681484;1;3;3
11158681484;1;3;3
11210666110;1;1;1
11211439944;3;3;3
11211439945;3;3;3
11211439952;1;1;1
11211439953;1;1;1
11211705836;1;1;1
11211705839;1;1;1
11211743461;1;1;1
11211743464;1;1;1
11217515368;1;1;1
11217515369;1;1;1
11217515378;1;1;1
11217580996;4;4;4
11237787326;1;1;1
11237797996;15;15;15
11241284853;4;5;5
11241284853;1;5;5
11247792532;4;4;4
11247810879;2;2;2
11247810880;3;3;3
11247810881;1;1;1
11252243861;1;1;1
11252247383;1;1;1
11252247519;1;1;1
11257514931;2;3;3
11257514931;1;3;3
11257790521;1;1;1
11257792004;1;1;1
11257798882;3;3;3
11257799359;1;1;1
11257807289;4;4;4
11282244754;1;1;1
11282245028;1;1;1
11282354130;1;1;1
11282354131;1;1;1
11284719859;1;1;1
11287516847;1;1;1
11287556251;1;1;1
11287559887;4;4;4
11287640169;1;1;1
11287787368;1;1;1
11287790448;1;1;1
11287799464;1;1;1
11287802146;1;1;1
11287839136;20;20;20
11288620023;1;1;1
11288625983;1;1;1
11311739073;20;20;20
11317568241;1;1;1
11317805960;1;1;1
11318578943;5;5;5
11332249817;2;2;2
11337805973;1;1;1
11367840979;1;1;1
11417541829;1;1;1
11420306483;4;4;4
11422354030;1;1;1
11427634291;1;1;1
11427792244;1;1;1
11427792246;1;1;1
11427802114;20;20;20
11427803608;1;1;1
11427805978;1;1;1
11428471074;1;1;1
11428507683;14;14;14
11428508039;1;1;1
11428570590;2;28;28
11428570590;26;28;28
11429064275;1;1;1
11429064276;2;2;2
11531744053;1;1;1
11537617502;1;1;1
11537792205;1;1;1
11537848373;1;1;1
11537852350;1;1;1
11538514064;1;1;1
11538574684;2;2;2
11538584875;1;1;1
11538697259;1;1;1
11617580948;1;1;1
11617786531;1;1;1
11617793133;1;1;1
11617802754;1;1;1
11619888952;3;3;3
11627587469;3;3;3
11628477092;1;1;1
11628678769;1;1;1
11657577006;1;1;1
11657794493;1;2;2
11657794493;1;2;2
11657804906;1;1;1
11657804910;1;3;3
11657804910;2;3;3
11657804911;8;8;8
11657804912;1;2;2
11657804912;1;2;2
11658509820;20;20;20
11658595478;1;1;1
11667549697;1;1;1
11668606501;1;1;1
11668606505;1;1;1
11668611344;1;1;1
11668674919;1;1;1
11717574953;1;1;1
